,Formation,1,2,3,4,5,6,7,8,9,10,11
0,352,"[464.5, 425.5]","[448.75, 378.25]","[229.0, 348.75]","[267.5, 346.0]","[362.5, 310.75]","[441.0, 278.75]","[742.75, 251.0]","[252.25, 204.75]","[416.5, 201.75]","[450.0, 163.0]","[327.0, 138.75]"
1,352,"[519.25, 431.0]","[524.75, 394.75]","[323.0, 354.0]","[377.75, 335.25]","[419.0, 323.75]","[472.0, 286.0]","[764.0, 251.0]","[424.0, 223.75]","[333.75, 201.0]","[388.75, 135.0]","[528.5, 126.5]"
2,352,"[527.0, 424.0]","[532.75, 378.75]","[334.0, 353.25]","[393.5, 350.0]","[441.0, 319.5]","[501.5, 290.0]","[774.25, 250.25]","[445.75, 225.75]","[345.75, 199.0]","[535.25, 130.0]","[406.5, 131.0]"
3,352,"[591.0, 371.75]","[468.5, 369.75]","[351.75, 343.75]","[590.75, 310.75]","[509.0, 284.75]","[605.0, 276.25]","[815.5, 240.25]","[534.5, 218.75]","[364.5, 187.25]","[590.25, 160.75]","[453.75, 106.25]"
4,352,"[524.25, 375.25]","[373.5, 334.25]","[638.75, 332.5]","[666.0, 299.0]","[575.5, 274.5]","[652.0, 257.25]","[815.0, 254.0]","[567.75, 200.5]","[388.0, 176.5]","[638.0, 172.0]","[482.75, 99.25]"
5,352,"[523.25, 347.75]","[624.5, 340.25]","[401.25, 327.0]","[682.5, 318.25]","[590.0, 301.75]","[816.0, 255.25]","[648.25, 236.75]","[590.0, 195.25]","[399.75, 182.25]","[663.75, 138.5]","[514.5, 74.25]"
6,352,"[613.0, 348.25]","[521.0, 332.5]","[406.5, 328.75]","[695.75, 322.0]","[587.75, 296.25]","[818.75, 265.75]","[654.25, 235.75]","[587.25, 192.5]","[382.75, 182.0]","[684.75, 130.25]","[522.0, 59.0]"
7,352,"[622.75, 340.75]","[625.5, 339.25]","[410.75, 336.25]","[701.0, 329.25]","[522.0, 319.25]","[599.0, 293.5]","[818.75, 265.75]","[669.0, 242.25]","[587.25, 192.5]","[703.25, 126.75]","[500.5, 54.25]"
8,352,"[703.75, 341.0]","[412.25, 338.25]","[634.5, 330.5]","[523.0, 306.75]","[598.25, 302.5]","[817.0, 261.0]","[687.0, 250.25]","[587.5, 195.25]","[333.5, 176.5]","[705.5, 123.75]","[478.25, 64.5]"
9,352,"[704.75, 359.75]","[416.0, 342.5]","[629.0, 323.5]","[594.5, 315.75]","[515.5, 294.0]","[694.0, 262.75]","[815.75, 258.75]","[585.5, 201.0]","[336.5, 178.0]","[706.25, 118.75]","[462.25, 65.5]"
10,352,"[705.25, 383.25]","[405.25, 344.25]","[606.75, 329.75]","[520.0, 288.5]","[518.5, 285.5]","[692.75, 264.0]","[815.5, 257.75]","[585.75, 211.75]","[352.0, 178.0]","[709.0, 115.75]","[460.75, 66.5]"
11,352,"[705.25, 404.0]","[383.5, 352.5]","[594.25, 339.0]","[519.0, 277.5]","[520.5, 275.75]","[699.5, 263.75]","[815.75, 254.25]","[592.25, 221.5]","[367.25, 189.75]","[705.75, 110.5]","[463.25, 68.75]"
12,352,"[675.0, 432.75]","[335.0, 357.25]","[579.25, 343.0]","[548.25, 340.25]","[698.75, 263.75]","[485.25, 254.75]","[814.5, 251.25]","[590.5, 225.0]","[404.25, 221.25]","[686.5, 97.5]","[450.75, 68.5]"
13,352,"[581.0, 415.5]","[388.75, 401.0]","[363.5, 318.0]","[514.0, 301.25]","[366.5, 259.25]","[766.5, 251.0]","[601.0, 240.75]","[386.0, 198.0]","[493.5, 186.25]","[258.75, 79.25]","[584.75, 66.75]"
